source,target
3092562938,2425286731
3092562938,1416931512906178561
3092562938,1295749897082241036
3092562938,1356219964349415425
3092562938,1356065881051160580
3092562938,1368328886371508225
3092562938,1264793080408006656
3092562938,1301117880273047556
3092562938,1304753872011800576
3092562938,1402659749192212490
3092562938,1119653968848674816
2425286731,71026122
2425286731,1327211993216987136
2425286731,720768645878648832
2425286731,2196922086
2425286731,1059327333532749824
2425286731,1293630316230279168
2425286731,1268013027997048838
2425286731,168683422
2425286731,1878450026
2425286731,1036657235169038336
2425286731,14652182
2425286731,450501133
2425286731,18091904
2425286731,763279190900613120
2425286731,1280864073475698690
2425286731,1031461493466783744
2425286731,19777398
2425286731,500042487
2425286731,1083198663424237569
2425286731,3118435522
71026122,20255162
71026122,944376625545723904
71026122,382267114
71026122,1086000366599061504
71026122,1086001021199872000
71026122,23560015
71026122,89090040
71026122,1085999515633471488
71026122,1220395312629436416
71026122,18173624
1327211993216987136,3324347603
1327211993216987136,696773687970787328
1327211993216987136,3337933103
1327211993216987136,1333742522695258113
1327211993216987136,1056002933601398785
1327211993216987136,1173577197312823297
1327211993216987136,1421824955751309313
1327211993216987136,3308576432
1327211993216987136,1276074249099173888
1327211993216987136,325576719
720768645878648832,1265289710420676610
720768645878648832,937885673507475456
720768645878648832,1344502928212561920
720768645878648832,714011887164203008
720768645878648832,841080730373386240
720768645878648832,1326057370959572993
720768645878648832,1352145057399365636
720768645878648832,1254002162650296321
720768645878648832,1307492251120041984
720768645878648832,1328902060905877504
2196922086,176850277
2196922086,1025369441150939136
2196922086,1449902785
2196922086,968652142750810114
2196922086,18161373
2196922086,2535545544
2196922086,1146663899703308288
2196922086,16042257
2196922086,404248216
2196922086,7846
1059327333532749824,27260086
1059327333532749824,345522684
1059327333532749824,27131277
1059327333532749824,165033159
1059327333532749824,165415622
1059327333532749824,1059325677202157568
1059327333532749824,335141638
1059327333532749824,1083198663424237569
1059327333532749824,168683422
1293630316230279168,1053844578292453376
1293630316230279168,1417025957609689090
1293630316230279168,23283603
1293630316230279168,2639625036
1293630316230279168,44196397
1293630316230279168,23617610
1293630316230279168,1200214398
1293630316230279168,1274831960
1293630316230279168,918522689362341888
1293630316230279168,1085418086403112960
1293630316230279168,1280864073475698690
1268013027997048838,335141638
1268013027997048838,1409798257
1268013027997048838,168683422
168683422,1377043537452146688
168683422,1319555751468150786
168683422,1278929167786991617
168683422,1272481239933411329
168683422,1128183610849120257
168683422,1126749496082223104
168683422,1109011576659427328
168683422,1059325677202157568
168683422,1878450026
168683422,1083198663424237569
168683422,1174491756294918146
1878450026,920160588650516480
1878450026,1409798257
1878450026,335141638
1036657235169038336,1482174208436228097
1036657235169038336,19636948
1036657235169038336,91193025
1036657235169038336,12848262
1036657235169038336,1322240714
1036657235169038336,143609865
1036657235169038336,17005390
1036657235169038336,20190730
1036657235169038336,1223101
1036657235169038336,103880489
14652182,1149421859756134400
14652182,1216193124944371712
14652182,432046954
14652182,945817135816654848
14652182,822518487675305984
14652182,295218901
14652182,45090120
14652182,277095600
14652182,625733783
14652182,2178012643
450501133,1390953644166504449
450501133,1391782489451073538
450501133,1200214398
450501133,1088544577319923712
450501133,1206300502620700672
450501133,155563793
450501133,123619643
450501133,1721651263
450501133,636236438
450501133,1276937808611950601
18091904,26576457
18091904,28061932
18091904,831893200658919424
18091904,152801977
18091904,1232420773156929536
18091904,170897911
18091904,939091
18091904,30354991
18091904,18131961
18091904,29860364
763279190900613120,794794277016457216
763279190900613120,299039607
763279190900613120,1399765230024937484
763279190900613120,1260924251323822080
763279190900613120,1476044832904732675
763279190900613120,1284908198357381120
763279190900613120,1479083479384014850
763279190900613120,26981455
763279190900613120,884788472
763279190900613120,2163076560
1280864073475698690,1288923752353263617
1280864073475698690,802856532224380928
1280864073475698690,885193407139794944
1280864073475698690,1051534855157166080
1280864073475698690,121046433
1280864073475698690,1292388788732223498
1280864073475698690,2434905247
1280864073475698690,272806831
1280864073475698690,636236438
1031461493466783744,1729246746
1031461493466783744,321908821
1031461493466783744,3281422614
1031461493466783744,184910040
1031461493466783744,358315469
1031461493466783744,1352646474589499394
1031461493466783744,29813965
1031461493466783744,1092118358332448769
1031461493466783744,103565377
1031461493466783744,408254056
19777398,1859184649
19777398,385619175
19777398,39633585
19777398,197703138
19777398,27877866
19777398,1065546915406848001
19777398,916784606225010688
19777398,288052045
19777398,20602711
19777398,1564177926
500042487,62290422
500042487,27022632
500042487,567801449
500042487,500554954
500042487,706246787951034369
500042487,23027237
500042487,1241098622969634817
500042487,1082721883617927168
500042487,887464646
500042487,35391464
1083198663424237569,1416932792647131140
1083198663424237569,1126749496082223104
1083198663424237569,1128183610849120257
1083198663424237569,1109011576659427328
1083198663424237569,1059325677202157568
1080403276900782080,1236676208395345921
1080403276900782080,2459743099
1080403276900782080,1284181500179574784
1080403276900782080,1140639578656632834
1080403276900782080,1145648589118398465
1080403276900782080,1200214398
1080403276900782080,1270671646597058560
1080403276900782080,1262816962041860097
1080403276900782080,959285621490515969
1080403276900782080,373157754
1236676208395345921,4685284098
1236676208395345921,1475861241243471877
1236676208395345921,1399399651531366405
1236676208395345921,37872206
1236676208395345921,1462086103012282379
1236676208395345921,1462750764929937408
1236676208395345921,1458132194140905557
1236676208395345921,16212685
1236676208395345921,1049708304
1236676208395345921,1681800428
1236676208395345921,95391960
1236676208395345921,3118435522
1236676208395345921,1424601053983506436
1236676208395345921,950380084237500417
1236676208395345921,1317853753
1236676208395345921,374644806
1236676208395345921,1395429202946494465
1236676208395345921,1390949805526900736
1236676208395345921,1174491756294918146
4685284098,123257433
4685284098,1305773797
4685284098,1029449035382435840
4685284098,1278364754424127490
4685284098,487736815
4685284098,959291445440950277
4685284098,75381379
4685284098,2811419016
4685284098,876864066190536705
4685284098,1266047296850059264
1475861241243471877,330262748
1475861241243471877,44196397
1399399651531366405,2401872150
1399399651531366405,757372008
1399399651531366405,84155547
1399399651531366405,41533816
1399399651531366405,2597666894
1399399651531366405,1606048885
1399399651531366405,185142711
1399399651531366405,121044171
1399399651531366405,1469065189
37872206,1691839328
37872206,1255745217388371968
37872206,105106802
37872206,3065788517
37872206,834201112806903809
37872206,403614288
37872206,19095849
37872206,1200214398
37872206,1379042631502622727
37872206,1030336133501075456
1462086103012282379,405427035
1462086103012282379,1387513290356498434
1462086103012282379,1668063794
1462086103012282379,4132167340
1462086103012282379,1452867999757598728
1462086103012282379,1435134797328703489
1462086103012282379,1106280976802566146
1462086103012282379,1298954184188768257
1462086103012282379,1306723618898890754
1462086103012282379,2499532166
1462750764929937408,718064867572379649
1462750764929937408,1167657634209521665
1462750764929937408,15175368
1462750764929937408,471436748
1462750764929937408,750678457865019393
1462750764929937408,14872237
1462750764929937408,2613992689
1462750764929937408,817845735676907521
1462750764929937408,3065788517
1462750764929937408,571964518
1458132194140905557,3809480178
1458132194140905557,44196397
1458132194140905557,4679128291
1458132194140905557,176566242
1458132194140905557,105119490
1458132194140905557,209708391
1458132194140905557,158314798
1458132194140905557,84279963
1458132194140905557,181561712
1458132194140905557,17919972
16212685,7973972
16212685,997654974
16212685,272275628
16212685,292073449
16212685,14259842
16212685,1195881456213659648
16212685,1198412709706051584
16212685,74435961
16212685,1446558949747134494
16212685,247145870
1049708304,51032310
1049708304,913812620
1049708304,226087776
1049708304,69008563
1049708304,516464106
1049708304,556260847
1049708304,853169204
1049708304,3228448867
1049708304,226813577
1681800428,1358897769495289859
1681800428,1483867913337638920
1681800428,1225612580632350721
1681800428,1476656112032268291
1681800428,1326224343345598464
1681800428,1391651053435752451
1681800428,1138892949155143681
1681800428,1301166873401331714
1681800428,1446890147954532355
1681800428,1432042334724710404
95391960,2685318456
95391960,88403351
95391960,1211134034010497024
95391960,3606068954
95391960,34581955
95391960,1475850121074016262
95391960,2314914986
95391960,1039145870900391937
95391960,1275449788347977731
95391960,3020546430
3118435522,323319539
3118435522,41533816
3118435522,84155547
3118435522,196655779
3118435522,1295356224481955840
3118435522,904314281902071809
3118435522,1295630835228348416
3118435522,3271715605
3118435522,137017726
3118435522,822862406523219968
3118435522,1232212721170407424
3118435522,2360798359
3118435522,1606048885
3118435522,31348594
3118435522,18839785
3118435522,1226794397083168774
3118435522,785547902236098560
3118435522,18861574
1424601053983506436,1191778307752288256
1424601053983506436,701840411460026370
1424601053983506436,1435180312498036736
1424601053983506436,702688843934277632
1424601053983506436,2842068128
1424601053983506436,471741741
1424601053983506436,2997035802
1424601053983506436,764120120549670913
1424601053983506436,909850150494863360
1424601053983506436,1599057055
950380084237500417,1419324590
950380084237500417,374644806
950380084237500417,286505380
950380084237500417,3583500497
950380084237500417,20523846
950380084237500417,1230550898616586242
950380084237500417,1232012105877983237
950380084237500417,4512753912
950380084237500417,380749300
1317853753,822518487675305984
1317853753,14879002
1317853753,133818287
1317853753,1273759306039558145
1317853753,840010544425889792
1317853753,360254234
1317853753,2166434343
1317853753,312681953
1317853753,268408352
1317853753,945817135816654848
374644806,1161349573224407041
374644806,1779169194
374644806,1293965388724809729
374644806,1489956048010100736
374644806,1262319351216001024
374644806,1067074290019913728
374644806,420512951
374644806,3386206996
374644806,1415526330167271424
374644806,1127984530529214464
1395429202946494465,758172291754823680
1395429202946494465,16573941
1395429202946494465,955744720092835841
1395429202946494465,2253142422
1395429202946494465,167426768
1395429202946494465,1369346961116192769
1395429202946494465,359999669
1395429202946494465,246797553
1395429202946494465,914029581610377217
1390949805526900736,20309234
1390949805526900736,1200214398
1390949805526900736,376847635
1390949805526900736,1212241811676119040
1390949805526900736,959285621490515969
1390949805526900736,18927441
1390949805526900736,213969309
1390949805526900736,1143472657
1390949805526900736,26235265
1390949805526900736,1028946208381853698
1174491756294918146,297759273
1174491756294918146,884765180302938112
1174491756294918146,1243264807840542721
1174491756294918146,1033152632527892480
1174491756294918146,2391232105
1174491756294918146,3981942198
1174491756294918146,1429480158
1174491756294918146,1409798257
323319539,815113027171192832
323319539,14334757
323319539,2426313439
323319539,1111976778065723393
323319539,20793816
323319539,702932794947694592
323319539,451649471
323319539,835149034000158721
323319539,35714345
323319539,745437121
41533816,256431855
41533816,1324715353
41533816,2981578354
41533816,1349154719386775552
41533816,80568825
41533816,1357202502454804481
41533816,2214447931
41533816,3194592704
41533816,1428113028353073154
41533816,1195025771368239106
84155547,19109172
84155547,259403099
84155547,837734029734600704
84155547,263724360
84155547,62507687
84155547,3194592704
84155547,1428113028353073154
84155547,285707150
84155547,2530334922
84155547,156653779
196655779,558654135
196655779,253058011
196655779,28185163
196655779,233139714
196655779,507662284
196655779,1171011802768928769
196655779,1116243378432356353
196655779,430584628
196655779,1066815760054591488
196655779,218972688
196655779,95891155
196655779,69008563
196655779,402363096
196655779,108252113
196655779,14120922
196655779,1381973348607926272
196655779,27737538
196655779,259725229
196655779,28360912
196655779,14601788
